Code,60 Days,120 Days,1 Year
MLI,0.08429575469994317,0.19066437033557743,0.47264408652679296
PRLB,-0.10597586105387101,-0.16266887234629174,-0.06840490797546013
NVR,-0.02088318356867783,0.06424255954457297,0.34721172256409877
WOR,-0.072972074468085,-0.029813617053848197,0.571778446033352
DFH,-0.3517683361025398,-0.11988398324202393,0.4055584148224395
LEN,-0.014654795027841738,0.05732419542766989,0.4542812207600884
LEN-B,-0.004362462682302211,0.032816666219682086,0.49794868855278135
CRS,0.4244290890815037,0.8571142413841104,1.3005618922647286
KBH,0.07219485660753666,0.2111137091722747,0.5661589598373805
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
