Code,60 Days,120 Days,1 Year
MLI,0.08429575469994317,0.19066437033557743,0.47264408652679296
KELYA,-0.08301799110402966,0.058170657550119464,0.2650257584430454
KELYB,-0.10020817910765188,0.05435183720807634,0.2393388690469484
PAC,-0.031449515251832545,-0.00419376405518749,-0.018506049271188055
ASR,-0.06789267002362483,0.010273169882333977,0.13355392505867647
TH,0.03391384051329049,0.1999999999999999,-0.2564271588661833
OMAB,-0.11988046247305503,-0.02693728985921329,-0.08013783851593187
HHS,0.03257790368271961,-0.042049934296977697,0.23979591836734696
ZTO,0.11933439752333974,0.4377939741892991,-0.1086286594761171
PSHG,0.08144796380090505,0.3426966292134832,2.103896103896104
GSL,0.43443707971715606,0.5102218708506909,0.7600226794868767
ESEA,0.030147591885866028,-0.042305354422427784,0.9361348772160754
DAC,0.31370956735362365,0.31974360732158763,0.6538262628067564
SGRP,0.7167630057803469,1.75,1.3385826771653544
GASS,0.4283333333333334,0.1902777777777778,1.7734627831715213
CPA,-0.0056474872307171785,0.041973354438728315,-0.03548787277895548
GSL-PB,0.08038834951456311,0.09818534937057642,0.19223121228743836
CMPO,-0.07924730702185674,0.27420053194779476,-0.04529444478774031
QUAD,-0.0530703186524019,-0.0723492332298429,0.4365639023253103
BWEN,0.503875968992248,0.6581196581196582,-0.02389937106918244
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
