Code,Debt,Dividend Yield,EPS Yield,FCF
GE,3.54547108039287,0.003085713592477996,0.02397274978174064,0.030811373223196596
RTX,4.718457423094071,0.02496668878529544,0.0533282171252687,0.04795497308325392
BA,24.313796680497926,0.00012661061432575428,-0.02943157676563552,0.010888512832014866
LMT,1.970518988637527,0.028152475112932857,0.06115218417099062,0.05733806857863389
GD,1.6466603951081844,0.018722696917015964,0.043613286044104194,0.02681339142963228
TDG,6.094571428571428,0.031225293005047124,0.024707697304319588,0.022867593762060535
NOC,3.531863919501677,0.016008607383238595,0.05059285551658327,0.030273141508604426
LHX,3.1611804767309875,0.021684031617496054,0.05928985190743991,0.028572193037274037
HWM,2.249032258064516,0.0027583914651153362,0.029244896765514415,0.02930343140862786
HEI-A,2.6773047217430053,0.00223282650857151,0.02085228010913343,0.03829977652776543
HEI,2.6773047217430053,0.0027455999602806515,0.01680628272251309,0.047095403296992355
TXT,-2.4921135646687698,0.0008746153683353747,0.05993953924736787,0.037772451219984
CW,1.6428355075030674,0.0036189853867659365,0.03844651090099242,0.04570353944703743
HII,1.7447306791569086,0.017666381691478383,0.06118049383763441,0.039618172803166866
BWXT,2.592595188188998,0.00916070885701278,0.030191142172921966,0.02755844532445312
CAE,3.250248385494287,0.01303062911256994,0.04941860465116279,0.0020982810006238647
MOG-B,2.2598231429292905,0.06914275500265202,0.043736192088110346,0.04823316858738484
MOG-A,2.2598231429292905,0.0075764931180463384,0.04503601628562481,0.0052852720411541805
HXL,2.7213740458015265,0.0073329962411043,0.024076428213721638,0.02560755120764865
SPR,-10.8532518065592,0.0003568004442517574,-0.17355142777931798,-0.1781623551630442
AIR,1.8423876592890678,0.008345039659888207,0.05461833973609488,0.016171461035828557
VVX,4.921320770804911,0.012201164614058393,-0.002569043031470777,0.09902617366557495
CDRE,2.571609876163372,0.008395563324566086,0.02797311257654524,0.03774218023924481
EVEX,-0.29875458932928234,0.000943665054972251,-0.08333333333333333,-0.07607724931253226
TGI,6.289633504177491,0.07324483235756883,0.003989361702127659,-0.012733728132307911
DCO,3.026459125418638,0.11597250394759924,0.05146198830409356,0.038695473117097264
SPCE,-0.9724309262585957,0.009858483678952222,-0.8445945945945946,-0.7883616854274679
AIRI,2.5031178208073515,0.2902767650727938,-0.15738297872340426,-0.013118769144603776
AULT,-0.9466331871551846,0.21221376421597052,-202.51471758154338,-0.10337262330054756
DAL,2.461344038061255,0.008302951080225312,0.13478724962849786,0.0363902777813
LUV,3.62949476558944,0.03680820613756813,0.05070229530661185,-0.042360921526905786
CPA,1.1658488972276935,0.04315103262430167,0.16561187096522345,0.07686634739099457
AZUL,2.61854547349489,1.49663658255317,-0.31917631917631917,4.183430966955706
SAVE,-93.55551954747665,2.6078670476687598,-0.8057851239669422,-1.4737817783618112
ASR,0.6061340360776014,1.2745651977190846,0.06641424775871899,1.0597884912454383
