Code,60 Days,120 Days,1 Year
OXSQ,0.00915557897510211,0.06584576854847134,0.30158865007221136
BCSF,0.08488745980707398,0.15488618860174574,0.485100576609886
IGIC,0.034037369185833104,0.09162186032818374,0.5881066702734384
GHI,-0.04179860671310946,-0.08449511085293822,0.07244876983817577
VLT,0.014253332821084227,0.05221203666799531,0.15755204051432148
YRD,0.04338394793926231,0.093181818181818,0.979423868312757
AMTD,0.03313253012048203,0.002923976608187202,-0.6492842535787321
IX,0.054640647310804466,0.16831102656143895,0.29919168442271643
FUTU,0.33071006975496353,0.6191512513601741,0.9018404907975462
XP,-0.2319711538461538,-0.2419928825622775,0.0734203865881248
WRLD,-0.056296944505214025,-0.015144596651446036,0.11888293273387515
VINP,-0.023108291798822,0.061744688814253684,0.38892467853737717
PHT,-0.023958598683416692,0.02714600146735145,0.19985496258694005
OXLC,0.10607956993659835,0.10194194603434167,0.2858880778588808
STT-PG,0.010063191350397956,0.04104584803646233,0.06254020629384409
OPFI,0.40199048031155354,0.08995492161743938,0.6562723647888765
ATLC,-0.09216909216909218,-0.20509708737864082,-0.2758430071862908
JXN,0.14298646408670823,0.5439935883135448,1.715650726986042
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
