Code,Debt,Dividend Yield,EPS Yield,FCF
BX,2.387943930116712,0.04619387286559111,0.030348060061569777,0.03808115572521066
BLK,1.417277562167601,0.02465138361851091,0.047884752050918654,0.03245955094131545
KKR,8.214314910733837,0.006849873691343145,0.035654600539001956,0.040188747127582566
APO,1.5074744295830056,0.016884289206530553,0.06285770408664364,-0.0045976735478749555
BN,7.646127539451163,0.009528650403452488,0.05647270525794386,-0.05810385650571417
BK,12.895110410094638,0.035252696175912646,0.08898228046375677,0.004254635745368767
AMP,1.3246628131021194,0.012721592399920085,0.06840160569291123,0.11362173139856424
ARES,14.74319948421237,0.04311385255596362,0.02832144690788866,-0.012363046676129376
OWL,2.224446154518033,0.0269273053720713,0.03586474174709469,0.08516585062083544
STT,5.917290979922086,0.04164279272022874,0.1012674599068805,0.07916423688257918
STT-PG,5.917290979922086,0.10580021389789361,0.2914341540958089,0.20112947879145962
CRBG,2.8210220392346814,0.09895187334559433,0.14840959645220372,0.2118584980604391
BAM,0.09563005518279097,0.13949421592411695,0.0326795029832061,0.039111232898198345
BEN,9.418865588485646,0.0423837098015254,0.09533973674848807,0.0768099102018073
IVZ,8.26823191183517,0.08029269396189694,0.08800482218203737,0.10888825619732552
BXSL,6.131915522625229,0.08068296089253026,0.12327447833065812,0.1314997538492069
FSK,12.276590856880313,0.16344339541554548,0.16655327255408903,0.23476768330794168
JHG,0.5689945703051863,0.049315487716086,0.08583981490597617,0.10256164222136237
AMG,2.6389005016722407,0.00026236816469936804,0.12397027340939154,0.1568961624902221
MAIN,1.7230610282371828,0.07263149457748015,0.0894542646301699,0.07990427934884473
HTGC,-21.05463588358099,0.0968938056119226,0.11670934946982982,0.07261561368010039
BUR,3.139731476750396,0.007997840147067177,0.09015202500833401,-0.08970480559884238
APAM,0.5174210464829502,0.06545621794817458,0.06641796827435048,0.09954407238638076
FHI,0.8529899232598622,0.03345054138933107,0.10143858354850609,0.1070853615022795
TSLX,0.015169603322942022,0.0831579795079295,0.11428407482498755,-0.03851024788851482
AMTD,1.4148141706125308,1592.300604001386,1.4180790960451979,24071.566062591723
KYN,2.2911743877400257,0.07426631774984771,-0.03881353162281419,0.07928077836476494
GSBD,6.582620791924304,0.11536073862661421,0.15487316421895864,0.15792868640682253
RVT,-0.5509763343936454,0.07514245513332223,-0.05509789956056061,0.003101054848706909
BSTZ,-0.06341404215905454,0.22265670680444627,-0.7293154236511089,0.01807992491603426
BBUC,3.4674186319996805,0.01025215817620177,-0.03571829253597383,-0.17750057085349505
WT,2.669009919230508,0.014610662861340204,0.04584752423369137,0.06260223238300122
BTT,61.66058068490323,0.0622566926981264,-0.0793559736882362,0.09218094627125029
BCSF,0.004871543353429368,0.10204113242684404,0.14158163265306123,0.18080839146444438
SII,0.37846658338538414,0.027692915054683145,0.04852372325319493,0.030276473154470247
BBDC,1.8234381749425943,0.1141613607253699,0.1335422920713403,0.18109880349385632
PX,3.507254829188979,0.034258790608948916,0.10019562002003912,0.07996481259566993
BRDG,16.08154951220384,0.06756104264106082,0.10822510822510822,0.6587789299677166
ECC,1.130777236879629,0.16453772272057596,0.135766771341811,0.10967812857570773
BSIG,1.9812002892263196,0.001855851989899227,0.0849766533215359,0.06019919892235617
PFLT,2.533650796748602,0.0931961992285765,0.11918090216331394,-0.052812126719958316
VMO,7.01811515011452,0.04285870878890684,-0.1247072963507885,0.0832709099355896
CION,5.9705670203921954,0.15282986243375163,0.18533252211353957,-0.022134895979239778
IIM,7.01480999255516,0.045163206915525625,-0.1638958462909109,0.09437320646467828
BIT,-0.006008745095517829,0.18526250462098717,-0.0012906056812462098,0.19827579428676123
VGM,6.542750540644491,0.04253109546194208,-0.17891282344882584,0.09370564877864741
VKQ,6.335090772532692,0.043652689590174445,-0.17567750184513353,0.12084320739300186
IQI,5.847022523663456,0.044456724745917484,-0.18233155169359966,0.08706140611148068
BLE,19.83386156732426,0.040946756919126415,-0.1354950240620474,0.199040815206954
VCV,5.7738842342254975,0.03899773851139565,-0.15377144707024926,0.08414169727234226
PNNT,4.026281892816717,0.14157480440478767,0.15730572742662807,0.08013239127909905
BFK,-2.823207733931003,0.04769097324361182,-0.17981193440303417,0.26218548547337067
EVN,-3.846494233132699,0.08739286797243474,-0.17306513182618324,0.10316338123978502
VKI,9.40724921205829,0.06744784833829835,-0.17676438138398204,0.21441348155356335
EFR,-4076.054632877531,9.049922389346092e-05,0.13033553269333,0.00017121464651691402
LEO,76.7039676241207,0.09102185893314992,0.10260653702937526,0.02394572340386249
KTF,-30.414425659906687,0.034734594981355525,-0.19632259729187002,0.17297596387551856
MCI,13.189346700882764,0.07839320648142213,0.18458316475879957,0.09386107707085407
BFZ,17.48083868431024,0.04114023955849675,0.0771902740254728,0.0695248060474845
BGR,1.1389367981672294,0.06024011436208527,0.19873292629675876,0.0895905851890572
EFT,1.3047633702628685,0.10708470493215658,0.17329999464745868,0.21534827865748649
TPVG,-25.693390767648193,0.1618853754237887,0.21479792472158882,0.3849594643954794
PMO,-2.6931978347363894,8.142313436796883e-05,-0.2804722114841357,-0.007358939157592336
SCM,-124.4738386647018,0.11856554488523191,0.1457226127207269,0.05355955428930859
SAR,23.336279436049633,0.10400721669735702,0.09956883139974218,-0.4056396576327866
OIA,3.341320127674514,0.04730672923110106,-0.10820503307982439,-0.017932616098846946
BYM,73.07613905133749,0.04168241335671942,-0.11451249147712374,0.12044122454547247
PMM,-5.118762930725509,0.0798442653317824,-0.2963093855707578,0.17174128431283697
