Code,60 Days,120 Days,1 Year
NTES,-0.0807744265938645,-0.11399333722650719,0.043661274053797786
TIMB,-0.15067561161951598,-0.12512494111970224,0.15962995393459478
TLK,-0.09962645659604243,-0.23470355831221573,-0.2764311911975762
CHT,0.006153846153846205,0.01605385810460913,0.0017231476163125294
MOMO,-0.0036398396999889776,0.018548099148704266,-0.33464276945740246
VIV,-0.16327994262491025,-0.18407786228399914,0.05611224964481938
TKC,0.44751381215469627,0.39857651245551606,0.8840788149000431
KT,0.011913626209977672,-0.023054195691086746,0.22938584985028454
ORAN,0.01957295373665486,0.016101574691445714,0.05974717724410255
SKM,-0.014595103578154366,0.002447446944043898,0.06266850124646502
WPP,0.12870512898072403,0.07654317293965786,0.0033761308544499064
AMX,-0.07626208378088085,-0.022727272727272846,-0.1920899974165669
AMCX,0.5644748078565328,0.04209328782707634,0.6013986013986015
WLY,-0.035002463086980136,0.08687828402792769,-0.007387077954625764
SIFY,-0.1889763779527559,-0.18253968253968253,-0.23703703703703707
BCE,0.035875710566450496,-0.10066792744547856,-0.19065157785015663
T,0.04179922949662759,0.03239933963129418,0.253715550667233
FOX,0.13581984517945106,0.11716762705705239,0.093081215798884
VZ,-0.018995296060899895,0.006370240124163186,0.27752301443058564
SEAT,-0.08098591549295775,-0.043956043956043994,-0.2917232021709634
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
