Code,60 Days,120 Days,1 Year
ATAT,-0.013179571663921032,0.008983717012914103,0.0641447758012174
CRTO,0.08075601374570447,0.44819646968534166,0.10512445095168385
OXM,0.04933871101008223,0.14675335038449097,0.13241194828354882
GHG,-0.16451612903225812,-0.11904761904761908,-0.3847980997624703
HTHT,-0.08991554893194231,0.15802781289506954,-0.07877434748611496
HMC,-0.07182320441988954,-0.0009900901784837348,0.15344213222017025
JD,0.1447166921898927,0.37266784192742763,-0.15309926016564135
BWMX,-0.09235975753421732,0.31631060270717337,0.4393682065217391
LOCO,0.18429661941112319,0.21476510067114093,0.174054054054054
GOOS,0.3072824156305507,0.2442941673710905,-0.08684863523573202
BABA,0.08269660716413323,0.043816926760974546,-0.06471346094234337
WPP,0.12870512898072403,0.07654317293965786,0.0033761308544499064
STCN,0.145144076840982,0.1791208791208792,0.41931216931216947
STLA,-0.1164813608920403,0.040493074425077845,0.4910388429864192
M,0.021724829786534228,0.033073929961089606,0.307340511345702
DOOO,-0.10438257693177716,-0.009423909115338733,-0.1255957509461125
LEN-B,-0.004362462682302211,0.032816666219682086,0.49794868855278135
WEYS,0.05416581926649049,-0.011449386844330264,0.17552785358441508
HBB,-0.1723011850944732,0.05454183311017901,1.054609936723188
KSS,-0.07162273492503816,-0.04751696597006158,0.27585735382595844
ESCA,0.0779996427378706,-0.1488422291993721,0.18636534582378889
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
