Code,60 Days,120 Days,1 Year
FONR,-0.19626666666666664,-0.2502487562189055,-0.128397917871602
UTMD,-0.005714023321021186,-0.06727367689897092,-0.24290103627169451
GMAB,-0.03449430676490292,0.024156305506216686,-0.26378958120531154
RDY,-0.057666214382632294,-0.05122950819672131,0.24961315071648096
OSUR,-0.20439189189189189,-0.3745019920318725,-0.14051094890510957
PINC,-0.09583059019670062,-0.09432064559898659,-0.23740662325730041
NVO,0.06402008473246518,0.15905614098060836,0.7330278406411769
UTHR,0.16585077650236318,0.28522912305187254,0.2621527777777778
SPOK,-0.04147560944016992,-0.0807167924469703,0.3059092393078682
BIO-B,-0.11804281345565756,-0.108913950254905,-0.22285098356238223
SIGA,-0.15777777777777777,0.7575181432446846,0.4930959087596274
FMS,0.15765571994097385,0.10169711102474426,-0.0018404447115383422
QGEN,0.060240963855421686,-0.017857142857142794,-0.04236240488917515
HOLX,-0.03683122253812347,0.004853714439800451,-0.05705971659919035
COLL,-0.1813800101471334,-0.029181708784596836,0.5322886989553659
MDRX,0.17791411042944777,0.07142857142857129,-0.17596566523605156
HRMY,0.004691689008042914,-0.04885786802030454,-0.15454032712915963
GSPC,0.015571650422754865,0.06644219182395666,0.2362329220668307
