Code,60 Days,120 Days,1 Year
KLG,-0.03526592696775536,0.45362070860085074,0.0
PRDO,0.30605212645405994,0.28325295250430305,0.9221278695777957
CALM,-0.009626649339454103,0.11301712866346884,0.3454997743558133
WILC,-0.055220883534136615,-0.0791932911256153,-0.2365916779568889
ABEV,-0.10612244897959193,-0.15769230769230774,-0.1981252974991762
LND,0.02235772357723584,0.024439918533604908,0.20898930417017195
STG,-0.2849949647532729,-0.21198668146503888,1.2756410256410255
KVUE,-0.03600452937580803,-0.040800861484465385,-0.20402455774545344
LAUR,0.062371487320082256,0.22432859399684044,0.32381326546299294
BTI,0.056285810583080485,0.0807865532771904,0.07836930191587754
AGRO,-0.1250539381753748,-0.051288177437980344,0.06567367797197704
ASAI,-0.14598540145985403,-0.13140311804008917,0.03356890459363949
ACI,-0.02159629777752376,-0.0262048050040279,0.015843199288168224
BG,0.033573237600652034,0.23409103856890562,0.21192251573227822
VLGEA,0.06850282485875711,0.20729483767749357,0.5214210655980855
ADM,-0.01175405286055669,0.1912334137225324,-0.10457505954814181
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
