Code,Debt,Dividend Yield,EPS Yield,FCF
FMX,1.4626311481710679,0.09362365540825116,0.028046296533028387,0.10737041846401223
BUD,3.7291900492367027,0.04696565965639629,0.05259221167780842,0.14125707762568665
ABEV,0.0872431054092132,0.30500083242094245,0.07661290322580645,0.516368955635219
TAP-A,2.830606916395801,2.1017157324252107,0.087201533292263,8.106120181248839
TAP,2.830606916395801,0.027516430352043993,0.0875690881118965,0.10612828745172326
CCU,5.543766508123274,45.14722308586069,0.04908016991893311,78.01702494745301
DEO,3.643013593472387,0.04602836463013743,0.0708619066828022,0.02583672154572008
STZ,2.9674668000222257,0.013202327923782287,0.04455458712749262,0.03050993768743141
BF-A,1.9676708302718589,0.04478201419756372,0.02997502239633156,0.04242506608190247
BF-B,1.9676708302718589,0.02560209941999436,0.0416634218518807,0.02425462050315255
NAPA,2.1047383265866255,0.14618633191798144,0.06659505907626208,-0.04548249706885218
HSY,1.3401800149081255,0.0334896520548174,0.05020631170976818,0.04658538480293532
TR,0.07670515560919235,0.01914865413999531,0.041742116765532314,0.07367716652464647
WMT,0.916600760262265,0.012961284751193878,0.07595147083264085,0.029937199866100446
TGT,1.5733784414372376,0.024833150996678908,0.05062543146674545,0.05627373781739998
DG,1.9875271423360392,0.015159851147422755,0.04418492322949984,0.03467200929406267
BJ,0.3882793911604858,0.0005626810195714333,0.051685393258426963,0.03368356599439798
BIG,-1.0972823914523082,0.07673553421321012,-2.8660508083140877,-2.161671143740868
EDU,0.058872579676023,0.01746481099982587,0.016125316747293252,0.07168495402492629
GHC,1.249522997604839,0.011548169353600235,0.05954460909747608,0.05629774886753237
LRN,1.2723545274175814,0.004211979199950886,0.06756542426645519,0.050287445579982964
ATGE,1.8472347314537183,0.08123854323759433,0.09124513618677044,0.12350398280039035
UTI,1.5348522072513744,0.007189866378910319,0.029485570890840654,0.03965154171502521
FC,0.04385794143004144,0.074687538856759,0.033112582781456956,0.08376547617429302
CHGG,3.869862359013573,1.8781009433023115,0.142668428005284,0.17117596673040075
STG,0.16451101779297805,0.8895989954063672,4.830874485596707,0.12651824660114536
BEDU,0.005318210459987397,9.390654871745626,-0.41893939393939394,-2.2394793859024067
GNS,-0.013501734603191312,0.008154941080350123,-0.3568134171907757,-0.11724407742719463
ADM,1.733235232289258,0.032008950614463516,0.1017643433150136,0.1712446394435041
TSN,4.817682317682317,0.04059211206784207,0.03142942034187653,0.04185310963207977
BG,1.3356254092992796,0.026626686920345963,0.13205539060904536,0.14922039128277215
DOLE,2.1851641777567075,0.02699826252045591,0.11306394863184184,0.14682077353675682
FDP,1.8666053357865686,0.03305197101427576,0.07408736069626522,0.09655083158357401
AGRO,1.107384970316207,0.04878527391252185,0.17221520911846822,0.3332367353348513
LND,1.294568713223508,1.937055546971134,0.1080482897384306,0.6466775963722352
LOCL,-5.749115252523492,4.424282380729831,-5.278350515463917,-7.974679922623155
SYY,0.9083491040055995,0.025059769349376565,0.052806229647598985,0.04893748655286186
USFD,3.1818181818181817,0.0018086668028072838,0.049471928849360754,0.05011514266111849
PFGC,2.3742154618622164,0.002712073282389749,0.05345659163987138,0.06842173452428994
UNFI,5.9010989010989015,0.0461107450286553,-0.010443864229765013,-0.06731922912651211
DIT,3.6375197791739855,0.005401840427593248,0.07677136758995642,0.0918961832349808
KR,1.4357163040406895,0.019250697299823406,0.08059137883402927,0.07018281854784865
ACI,1.8564109004144167,0.0225101753585945,0.13560626322630295,0.05105015220313741
ASAI,1.963965646004481,0.017016913202604077,0.1630581867388363,1.0708142881462182
NGVC,0.1599820371046058,0.07778486670155578,0.06986374565856265,0.058087116644581376
PG,1.0237653018151118,0.024054001833192173,0.04069236571519314,0.04247297526490226
UL,1.3209639490240173,0.03506368512510256,0.08036921617912691,0.09227804503892262
CL,1.7723418134377038,0.023865062058579693,0.03752902635632247,0.04115463924876578
KMB,1.9732708735188758,0.03695084583012902,0.05390095485034489,0.06041868710029873
EL,3.2695769576957696,0.026536005345607603,0.013240981293689532,-0.03230226811058141
KVUE,2.4310404424472867,0.36735282773862826,0.057452048730639374,0.05130200165111994
CHD,1.7007411982705374,0.010582319361043358,0.031143724443402045,0.030492961100896485
CLX,2.391513982642237,0.031393819137632006,0.03971178333567126,0.030227156939949727
COTY,3.485752568110764,0.0012910244512832783,0.03595317725752508,0.02801715749501323
SPB,5.447483154974237,0.02280351024516769,0.05089931528570768,-0.24859310574570753
EPC,3.908564814814815,0.016357476711791042,0.07326426055057313,0.11618002690169535
NUS,4.081810403062374,0.08951744960538832,0.11331527068548476,0.12394588792590404
ACU,2.0677039140406444,0.011954600945248063,0.049585018088955095,0.030045851596229443
GIS,2.5424350836699365,0.034428106764756744,0.0667336405290839,0.060423433652317234
K,2.0384972170686457,0.04066013792761094,0.07170757404643903,0.05689327284167615
MKC,2.631699604743083,0.022183803461686934,0.03573869125698083,0.05241222575957398
MKC-V,2.631699604743083,0.33242081767938964,0.034063073897921174,0.7853889876677375
HRL,2.141763427297197,0.031901311430687834,0.046521035598705504,0.05215527752209923
CAG,4.504990980156344,0.04635191008583827,0.09144822597266108,0.10127613985339685
CPB,3.4258487194758787,0.033814076020786024,0.06715093988629713,0.04809957330597203
LW,2.39575945069041,0.010238575715587728,0.05185567904540294,-0.0040680055298540525
SJM,5.168066692121675,0.032770855701379595,0.0797096451878309,0.04864648111836506
INGR,1.4745762711864407,0.025811799424132892,0.07445442875481387,0.131926974834457
BRBR,2.2950096498483594,0.0017533562765327125,0.02761307809588345,0.036885420928540025
