Code,Debt,Dividend Yield,EPS Yield,FCF
XOM,0.5056112759178164,0.0336,0.07527529249827943,0.061580858399066046
CVX,0.5857191385284326,0.0421,0.07930772156713578,0.06416155870081346
SHEL,0.860678699336903,0.0394,0.11798926014319808,0.14843333018469598
TTE,0.8336546466284012,0.0487,0.12988522446607587,0.13586199459764434
COP,0.7051057414123304,0.029,0.06623192960402262,0.05587294159165062
BP,1.149664716792695,0.0494,0.10774946921443739,0.13881634943248114
PBR,0.43174823363103637,0.1009,0.24786324786324784,0.3066709642437351
PBR-A,0.43174823363103637,0.1057,0.2530201342281879,0.3130513668555175
EQNR,0.5191999623068224,0.0468,0.12023677395486496,0.0993392669271787
ENB,5.032214184134051,0.0744,0.07904919845218354,0.11497370585630136
CNQ,0.441168036704263,0.041,0.09748427672955975,0.11242999867538746
EOG,0.2959199747952111,0.0304,0.09245932415519399,0.06250080714456992
EPD,3.5127918529557873,0.0727,0.08738862234407127,0.07025836637941871
SLB,1.433720464557469,0.0255,0.05674147053457397,0.05774670875494134
MPC,1.674217907227616,0.019,0.09935483870967743,0.13485553259832664
PSX,1.7181266261925412,0.0335,0.08258846577690708,0.042253732848987445
OXY,1.4739390954608882,0.0147,0.049699953839052166,0.08588653263668482
ET,5.1370333988212185,0.0826,0.080737444373808,0.1306158394535483
VLO,0.9071531791907514,0.0278,0.11869470970765715,0.1131238191957843
WMB,4.037527223990618,0.0457,0.05132152938157557,0.06524940546356744
E,1.0757223513782797,0.0666,0.13509457755359394,0.1292908701329499
SU,0.7190145776306576,0.0424,0.1395285830398266,0.16811444300234363
OKE,4.7134624250806825,0.05,0.05363602345016839,0.043491290075899976
HES,1.429663608562691,0.0118,0.04638364779874214,-0.0008292541175095032
KMI,5.0707563025210085,0.0581,0.05997818974918212,0.09642922313268835
MPLX,3.2904636920384953,0.0835,0.0933589990375361,0.1045327470473418
TRP,6.190152973356296,0.0703,0.11318407960199003,-0.012276088062899504
LNG,2.1208007135070854,0.0109,0.12785218253968256,0.11332940307830222
CVE,0.6249567623659633,0.0279,0.12106053026513257,0.14391712261878314
IMO,0.10858770320981338,0.0271,0.1245479531317807,0.12039010808623009
WDS,0.23926892071690492,0.0774,0.0,0.08929342689724139
HAL,1.438500659257864,0.0203,0.0806697108066971,0.06825495526414342
DVN,0.8225221303149035,0.044,0.10761259465922678,0.08828975183012042
TRGP,3.2237218706509467,0.0254,0.043664612911867136,0.01364070993951433
EC,2.090952660091949,0.2666,0.1748310810810811,-1.5521119710990632
CCJ,1.6973051548697304,0.0016,0.015004616805170819,0.018581782371294885
CQP,3.027796308650211,0.0825,0.09374367280826078,0.11561571523892646
PBA,3.578293010752688,0.0548,0.08800226372382568,0.0953582456935475
CTRA,0.6479400749063671,0.0305,0.06886657101865136,0.045640277089773744
TS,0.006231722485589059,0.0373,0.15304303539597655,0.16629908877747104
EQT,5.2293514899214495,0.0154,0.03857566765578635,0.03828931378593478
MRO,1.4221808014911463,0.0158,0.08786167960479886,0.11824202325622028
WES,3.4849704712662706,0.0935,0.09985935302391,0.07605754608774853
OVV,1.1981981981981982,0.0252,0.12427745664739885,0.07340267684588117
PR,1.4539643907930642,0.0522,0.07191392978482446,0.03874235284793544
FTI,1.1223276407337128,0.0082,0.026682596575069693,0.06636398332051334
DINO,1.0178231959932198,0.0372,0.13649163491800564,0.1779143026124527
RRC,2.457453628275974,0.0087,0.06041243101945976,0.02528823370305046
HESM,3.469657268630123,0.0761,0.061168004428452806,0.19345725844431258
MTDR,0.9475220844681345,0.0138,0.10453796615246369,0.02001809841003857
SUN,4.865384615384615,0.0669,0.07447337866976282,0.04225171069008739
AM,3.5336792581981857,0.0619,0.05689900426742532,0.09708142034732761
NOV,1.7764350453172206,0.013,0.06454918032786887,-0.003626537734891885
CIVI,1.5409181775345095,0.0885,0.13436964826768544,0.09391980237780749
DTM,3.983116883116883,0.0417,0.06710310965630113,0.03421329331380167
ETRN,6.788788665400177,0.0423,0.07205764611689351,0.10579504311671487
FRO,4.326314399094924,0.0903,0.10179640718562874,-0.4778438799828258
MUR,0.7545153004871783,0.0301,0.09037199124726476,0.12551996901296755
NE,0.7868058703763812,0.0374,0.04737884099814395,0.036467000008553505
ENLC,2.013378981035182,0.0413,0.02785923753665689,0.12809086090210378
PBF,0.4038685470306637,0.0218,0.16223727635921487,0.054528970286704066
SM,0.9720044896423704,0.0154,0.12056168505516551,0.057156238701151614
NFG,1.9945743243186773,0.0352,0.0938198064035741,0.026198351333322333
MGY,0.43932241540241074,0.0203,0.07938342967244702,0.018276268808260943
VRN,1.359611139412464,0.0428,-0.06715506715506717,0.1625124874429381
UGP,1.2771952719443789,0.0303,0.08391608391608392,0.4785530385270515
STNG,1.0573737009410369,0.0198,0.15429769392033546,0.2010264488817694
NOG,2.428270290581162,0.0423,0.1539818548387097,-0.12093382555970002
LBRT,0.16643739748057895,0.0123,0.13030888030888033,0.1027775772453304
HP,0.6188200644187057,0.0476,0.08535425582501188,0.0860361119077907
STR,1.6023154143243845,0.073,0.057463592233009717,0.13640283708468967
CRK,3.7004034002837223,0.068,0.011745689655172416,-0.2225897405032796
AESI,1.6254817743518268,0.04,0.07957559681697611,-0.0462514794911637
NS-PB,4.756455527343859,0.0641,-0.04869358669833728,0.12671319773722706
EURN,1.5103011149143364,0.3952,0.35237522549609146,0.19279458186790074
WHD,0.014983611927856803,0.0101,0.06388500698742264,0.10030616097091025
INSW,0.7098562806597275,0.0076,0.19285714285714284,0.17345450236429227
CRC,0.8135338345864662,0.0278,0.05862068965517242,0.079977928413766
AROC,4.169470594028048,0.0345,0.04219623792577529,0.014975868319471473
BTU,0.30514393581878246,0.0127,0.14798021434460015,0.241357209981428
USAC,6.400537508642245,0.0876,0.01162354705661792,-8.781403991253234e-05
BTE,1.2775171796499036,0.0197,-0.07162534435261708,0.07471291658685554
CVI,1.4534562211981568,0.075,0.11862030286034775,0.17015648030662178
TNK,0.21605751051013966,0.0142,0.2292415682246191,0.3313803496131709
KNTK,5.777165093068943,0.0753,0.06119889641334337,0.12493820423961359
KGS,4.1525576176599515,0.0579,0.019385515727871252,0.04164279078970702
CRGY,1.4925034641401764,0.0389,0.0025210084033613386,-0.38104903627385295
LPG,1.4332993742289963,0.0824,0.19734789391575663,0.2045352553207088
