Code,Debt,Dividend Yield,EPS Yield,FCF
OMC,2.181118908845803,0.029739499095158443,0.07852825142371513,0.06632355028893436
IPG,1.6166629736317306,0.03960037510074102,0.08704379448991097,0.06265476964125533
WPP,1.4566853173837546,0.07502802000516573,0.7233359994055971,0.15717792740752717
EEX,5.137886597938144,0.024781542141978547,-0.10713656387665199,0.02045918014047066
DLX,4.050118986195495,0.060061931770631294,0.16136649874055417,0.151952565821885
CCO,18.7107384661226,0.1814869399088695,-0.46666666666666673,-0.22444259008184037
EVC,6.547005116885723,0.13737932356978982,-0.462211118051218,0.3635290970285778
TSQ,5.174552753836125,0.0814660966796669,-0.2350850563648816,0.2870916486785434
DDS,0.4883500100669098,0.05873625943696978,0.0931854804511916,0.12313594373690598
M,1.4775751601774274,0.033607577505197446,0.16105173345180818,0.07360790073149222
JWN,2.1373671300081765,0.037692602054137644,0.09003810452379295,0.05775479347004961
KSS,1.1608788093550673,0.06938957014729875,0.08698641188066025,0.23781698132301485
EDU,0.058872579676023,0.01746481099982587,0.016125316747293252,0.07168495402492629
GHC,1.249522997604839,0.011548169353600235,0.05954460909747608,0.05629774886753237
LRN,1.2723545274175814,0.004211979199950886,0.06756542426645519,0.050287445579982964
ATGE,1.8472347314537183,0.08123854323759433,0.09124513618677044,0.12350398280039035
UTI,1.5348522072513744,0.007189866378910319,0.029485570890840654,0.03965154171502521
FC,0.04385794143004144,0.074687538856759,0.033112582781456956,0.08376547617429302
CHGG,3.869862359013573,1.8781009433023115,0.142668428005284,0.17117596673040075
STG,0.16451101779297805,0.8895989954063672,4.830874485596707,0.12651824660114536
BEDU,0.005318210459987397,9.390654871745626,-0.41893939393939394,-2.2394793859024067
GNS,-0.013501734603191312,0.008154941080350123,-0.3568134171907757,-0.11724407742719463
KR,1.4357163040406895,0.019250697299823406,0.08059137883402927,0.07018281854784865
ACI,1.8564109004144167,0.0225101753585945,0.13560626322630295,0.05105015220313741
ASAI,1.963965646004481,0.017016913202604077,0.1630581867388363,1.0708142881462182
NGVC,0.1599820371046058,0.07778486670155578,0.06986374565856265,0.058087116644581376
ACN,0.006079335605463977,0.013987442288350508,0.03458132127872111,0.04052732879757405
IBM,4.253227329974811,0.03491808821219783,0.05182909092832249,0.07338267969541197
FI,2.8391496682231505,0.03384628394459566,0.04905518708547116,0.036808502160283814
INFY,9.48290040944637,0.024438305279598213,0.043247180397646454,0.0407718215186174
FIS,2.559604247104247,0.027537630847418275,0.07096857202836035,0.08694684328570351
IT,1.9301505074263843,0.015913926970319476,0.023873958923364174,0.029057082081452166
WIT,0.4783825215613939,0.35604970251702794,0.041739130434782605,5.516556522233438
BR,2.539679098005204,0.014897369660964192,0.03651518664161742,0.039789912173521846
GIB,0.653109612630459,0.005555603222428558,0.061996560774730744,0.08008782138957371
LDOS,2.8950962135319678,0.01136992825566582,0.06776580870767696,0.014990203919161402
EPAM,0.03999404439715806,0.003458418031283844,0.038311123986095014,0.028289197355942486
CACI,2.052429659473967,0.0012768534032917694,0.05216059974130877,0.050702504900059016
PSN,2.9144767146862205,0.018680928789949723,0.03267028330319469,0.0353545061873024
GLOB,0.005717871613873245,0.00014683375250179343,0.029668152550767712,0.0305669069105649
SAIC,3.240650406504065,0.01171088355755515,0.05899632407519222,0.0578037201238299
G,1.182640628138779,0.017321325985225323,0.09238002030531137,0.07271870444621222
ASGN,2.279586449626045,0.015264686333572077,0.0561282932416953,0.08541153511169008
CLVT,4.78380608561114,0.015206419208605174,0.10632570659488559,0.08968766190187927
DXC,0.8063134160090192,0.03269178828243941,0.14945780292314945,0.15142836332425932
NABL,3.3692138582420714,0.00158560408013061,0.030604437643458302,0.025589140383283082
WNS,0.44539676885450286,0.0028683366508961985,0.08707698396991885,0.07577034129864012
VYX,2.882863340563991,0.008212087068751692,0.09501187648456057,-0.004379779770000902
BBAI,-7.285687565464611,0.19944859391050715,-0.4390243902439025,-0.0518578614816204
CTM,0.9359145780365575,0.008526508196652807,-0.8305149884704075,0.01372632151560737
HLT,5.359598096245373,0.0029269278357121693,0.030541356092507934,0.03272155221462836
IHG,1.5145653105605048,0.014481573165102735,0.0333655197468427,0.07312043925809414
H,3.358600583090379,0.008606103564264948,0.01799845852923119,0.0849505706666153
WH,3.7675213675213675,0.019343232042739356,0.05147361224259919,0.052340510233294724
CHH,2.350763580887673,0.00961334954225975,0.049898299491338796,0.025434757892136697
GHG,0.13981292012228677,0.25965307231902135,0.5369774919614148,0.5545492135194653
ROL,0.6974038578353151,0.01221872153790796,0.019947442824557904,0.023419141653911
SCI,3.713111956780703,0.015864176287601537,0.04641137254530521,0.0470123973459144
HRB,1.498337380983016,0.02632924427701906,0.09569005438145702,0.09939748629675177
BFAM,3.1868105735552406,0.04424627275609373,0.025229357798165136,0.032593367773477634
CSV,5.565408129461014,0.016491275243315708,0.08840550640011292,0.12936331401321288
UNP,2.7020355132091813,0.021267265846986974,0.041998009286181054,0.0337139449134398
CNI,1.8189162697537467,0.025003900944331116,0.054856016308792825,0.046932862000870275
CP,2.7564046259698434,0.00859714510445866,0.040943631620732675,0.018131701266244284
NSC,7.069547325102881,0.02136558314789291,0.0430976983776795,-0.022274013502504873
WAB,2.1283280085197016,0.004987250356598844,0.0449459514624959,0.05357397844002664
TRN,9.75557033588294,0.03896120729673346,0.059488183978090935,-0.18403519078047478
GBX,3.6400409626216077,0.027472184183860646,0.0758706299578947,-0.09922233565276983
URI,1.8415229417507322,0.008621391218091648,0.058410605987101016,0.02139691525071172
