Code,60 Days,120 Days,1 Year
CALM,-0.009626649339454103,0.11301712866346884,0.3454997743558133
ABEV,-0.10612244897959193,-0.15769230769230774,-0.1981252974991762
KRT,0.02037513262718727,0.1967484887728372,0.9170602823220959
AGRO,-0.1250539381753748,-0.051288177437980344,0.06567367797197704
LND,0.02235772357723584,0.024439918533604908,0.20898930417017195
SMP,-0.0749475093570277,-0.2283108384250434,-0.1265798418075201
ADM,-0.01175405286055669,0.1912334137225324,-0.10457505954814181
FDP,-0.07549770960218993,-0.001458976999656665,-0.06542431422948718
PLOW,0.043405676126878096,0.023600124469775118,-0.11335884495483453
SON,0.07209975553194041,0.10452344056175371,0.03442354121699653
REYN,0.027284681130834987,0.05282817111845136,0.0610304727951787
TAP-A,-0.1081235919275973,-0.06434677540213803,-0.001124940003199872
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
