Code,Debt,Dividend Yield,EPS Yield,FCF
APTV,1.6723343960325894,0.002122775857183953,0.06415568110483363,0.05754568465018238
GPC,1.4657634853085466,0.024874453395801497,0.06116005215178092,0.04741169229218169
MGA,1.2268740458977587,0.033814116535755986,0.09955118543771933,0.038950362875313976
ALV,1.4734299516908214,0.022981044661261277,0.07438550559602743,0.05950449064076581
BWA,1.8234643054786939,0.014700910197973528,0.12300478159432675,0.0680550756578602
LEA,2.5344174443315164,0.02208883951356247,0.08619498124338866,0.07607562667461715
ALSN,2.4052156469408223,0.011729504346753097,0.09259408065451281,0.09214020282027734
MOD,1.2987983111399806,0.0005220316742963333,0.03414224183212523,0.025318536203372162
ADNT,2.6530386740331493,0.021981790939105232,0.07108140947752126,0.12005439666742089
DAN,3.2371392722710164,0.03173725661252492,0.0642515487796172,0.05088904939594512
PHIN,1.8877005347593583,0.026922902528103088,0.0916446633293121,0.09107960642485939
AXL,4.886546364123638,0.0026583753711092017,0.013586956521739128,0.21475049737047378
MLR,0.5333074760011636,0.014609388743489191,0.11476791728236366,0.02039623587990533
SMP,1.7286362625505522,0.03487388411250988,0.08330952345148047,0.11667826892436098
PLOW,2.3585151850027293,0.048886295120052284,0.05223880597014926,0.06880991537793266
CPS,6.682383442736498,0.03145098643056384,-0.231280193236715,0.015314815182696352
SUP,6.422380027385919,0.16414160595452792,-1.0965517241379312,-0.03641160937143194
FMX,1.4626311481710679,0.09362365540825116,0.028046296533028387,0.10737041846401223
BUD,3.7291900492367027,0.04696565965639629,0.05259221167780842,0.14125707762568665
ABEV,0.0872431054092132,0.30500083242094245,0.07661290322580645,0.516368955635219
TAP-A,2.830606916395801,2.1017157324252107,0.087201533292263,8.106120181248839
TAP,2.830606916395801,0.027516430352043993,0.0875690881118965,0.10612828745172326
CCU,5.543766508123274,45.14722308586069,0.04908016991893311,78.01702494745301
HSY,1.3401800149081255,0.0334896520548174,0.05020631170976818,0.04658538480293532
TR,0.07670515560919235,0.01914865413999531,0.041742116765532314,0.07367716652464647
ADM,1.733235232289258,0.032008950614463516,0.1017643433150136,0.1712446394435041
TSN,4.817682317682317,0.04059211206784207,0.03142942034187653,0.04185310963207977
BG,1.3356254092992796,0.026626686920345963,0.13205539060904536,0.14922039128277215
DOLE,2.1851641777567075,0.02699826252045591,0.11306394863184184,0.14682077353675682
FDP,1.8666053357865686,0.03305197101427576,0.07408736069626522,0.09655083158357401
AGRO,1.107384970316207,0.04878527391252185,0.17221520911846822,0.3332367353348513
LND,1.294568713223508,1.937055546971134,0.1080482897384306,0.6466775963722352
LOCL,-5.749115252523492,4.424282380729831,-5.278350515463917,-7.974679922623155
BALL,2.8895287958115183,0.012088158552730347,0.04317660721198226,0.001678910910101437
AVY,1.6356380877123666,0.014580797132326392,0.04011038449760619,0.03756285754342431
PKG,1.9254788973680113,0.026514185205498045,0.04355472324713459,0.05076568476062898
IP,2.6652003910068425,0.04782156931271466,0.04690176283255553,0.06207105408452199
AMCR,4.066282420749279,0.0530401057036227,0.07346678023850085,0.05952278528962103
WRK,2.9068243446821334,0.02336025765002369,0.04658230319993979,0.03646594501672613
CCK,3.5379273504273505,0.012157687328769814,0.07176097898681598,0.0976807292277023
GPK,2.530800821355236,0.013767219036786169,0.09664992777051662,0.01656543428816547
BERY,4.54260324098275,0.01916617920684217,0.12208856154758464,0.11761064513289517
SON,2.5513326867119304,0.03547597055480307,0.08686869744051326,0.1311323273525907
SEE,4.589733064260506,0.021768942551219597,0.0872866813495656,0.06736680431451589
SLGN,2.9461110697812827,0.015379518572841868,0.06843834449505527,0.06436888732087287
GEF,3.8342518600165336,0.0663845035336982,0.07820419985517742,0.1563935852480278
GEF-B,3.8342518600165336,0.07977406624974695,0.0893167433831991,0.1879377198969102
AMBP,7.411522633744856,0.13168237096251395,0.035908791669160334,0.11566018133969858
OI,3.606830122591944,0.1215439340406927,0.13562386980108498,-0.025160368511608362
MYE,4.337647701659723,0.023575496392111005,0.05308588692274492,0.07101899201178238
TUP,0.05417956656346749,5.342335786605778,-2.040820895522388,-0.6399255415357866
DSS,-0.40500327011118376,0.0005310826125702618,0.8232044198895028,-0.5763493331176167
SUZ,3.0191252493243437,0.023328715832918342,0.10990610328638498,-0.027367673703404392
SLVM,1.91875,0.023349905012730463,0.08252329207711288,0.10250212539486764
CLW,1.6054446460980036,0.0019195152598755272,0.15344157329064717,0.2577634777547137
BC,2.776750175602903,0.01727564499511433,0.078824361205086,0.05335261638990706
THO,1.7106511219898695,0.02031344291181763,0.04407767256194838,0.08868798335382262
HOG,6.418478778288111,0.01649592886522451,0.10339028223249487,0.10309716400016329
PII,2.462347188264059,0.02629392779602232,0.07389539472624475,0.061085283477344536
LCII,2.917775486936516,0.034333376511531066,0.03019420287714652,0.12613503633770848
WGO,2.6012729314863345,0.01636475966042294,0.07791849806977731,0.10485568226863588
SPG,5.896565739281409,0.04960613731887537,0.050823930366683326,0.06374758244610719
O,6.122298266041477,0.04830530872759666,0.020157677835513352,0.06376722580988334
KIM,6.612147840109222,0.05185137020946811,0.02788392027264278,0.04452593826925387
FRT,6.107812485099647,0.042691641817554374,0.02751664708186447,0.030177003126667726
NNN,5.437190457643872,0.05276342845076167,0.05172299253101008,0.08052866848120337
BRX,6.496535511466142,0.04570823344207627,0.04014070828927207,0.05940195162870289
ADC,5.907113709883925,0.051695476345953686,0.02948607709814626,0.07027791381436004
KRG,7.113418985957371,0.04522986025035814,0.011671498667114854,0.054110771143066255
MAC,12.898778503940692,0.042598488783952,-0.09561407110636627,0.037558849852765724
